,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mod__learning_rate,param_mod__max_depth,param_mod__min_samples_leaf,param_mod__min_samples_split,param_mod__n_estimators,param_mod__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
16,155.21317648887634,1.2067415741051912,0.08814247449239095,0.005088043661159322,0.2,19,9,10,196,1.0,"{'mod__learning_rate': 0.2, 'mod__max_depth': 19, 'mod__min_samples_leaf': 9, 'mod__min_samples_split': 10, 'mod__n_estimators': 196, 'mod__subsample': 1.0}",-417322.77576225303,-423228.98706624226,-411677.75385990995,-417409.8388961351,4716.173034621015,1
18,74.73588554064433,2.171957789785021,0.054550488789876304,0.0015097987035788036,0.1,14,5,2,105,1.0,"{'mod__learning_rate': 0.1, 'mod__max_depth': 14, 'mod__min_samples_leaf': 5, 'mod__min_samples_split': 2, 'mod__n_estimators': 105, 'mod__subsample': 1.0}",-429016.41709456337,-426411.568788284,-423486.52879360184,-426304.838225483,2258.828562928823,2
14,58.41591755549113,1.05255378966808,0.061268885930379234,0.007199940710279301,0.1,15,6,5,78,0.8,"{'mod__learning_rate': 0.1, 'mod__max_depth': 15, 'mod__min_samples_leaf': 6, 'mod__min_samples_split': 5, 'mod__n_estimators': 78, 'mod__subsample': 0.8}",-433954.97706995544,-430614.8327516807,-421207.05993570935,-428592.28991911514,5397.243583384202,3
4,64.8395361105601,0.26294736721639383,0.04688453674316406,0.0010725165021645306,0.2,14,6,5,89,1.0,"{'mod__learning_rate': 0.2, 'mod__max_depth': 14, 'mod__min_samples_leaf': 6, 'mod__min_samples_split': 5, 'mod__n_estimators': 89, 'mod__subsample': 1.0}",-437245.1384830449,-432427.4574544415,-425996.1844710279,-431889.5934695048,4608.088167619868,4
2,34.81442006429037,1.1132589116393934,0.031594435373942055,0.0018274738761418193,0.2,13,6,4,49,1.0,"{'mod__learning_rate': 0.2, 'mod__max_depth': 13, 'mod__min_samples_leaf': 6, 'mod__min_samples_split': 4, 'mod__n_estimators': 49, 'mod__subsample': 1.0}",-448861.5254723992,-432313.39494260895,-430852.9109576159,-437342.61045754136,8166.896828344843,5
5,63.67546343803406,1.9168460887227978,0.04238748550415039,0.0007173708002372736,0.2,7,5,2,187,1.0,"{'mod__learning_rate': 0.2, 'mod__max_depth': 7, 'mod__min_samples_leaf': 5, 'mod__min_samples_split': 2, 'mod__n_estimators': 187, 'mod__subsample': 1.0}",-442273.1767137439,-444163.6800000617,-428808.89691658545,-438415.25121013034,6836.423664398704,6
15,43.5694166024526,1.7893274537018695,0.04631511370340983,0.0038676471402236796,0.2,9,5,10,110,0.8,"{'mod__learning_rate': 0.2, 'mod__max_depth': 9, 'mod__min_samples_leaf': 5, 'mod__min_samples_split': 10, 'mod__n_estimators': 110, 'mod__subsample': 0.8}",-445011.1346051062,-439001.92150430416,-433535.9542969608,-439183.0034687904,4686.47228979387,7
0,56.36523485183716,1.8261597137757544,0.043721675872802734,0.003562357707122278,0.2,10,2,5,113,1.0,"{'mod__learning_rate': 0.2, 'mod__max_depth': 10, 'mod__min_samples_leaf': 2, 'mod__min_samples_split': 5, 'mod__n_estimators': 113, 'mod__subsample': 1.0}",-453416.28467394883,-444309.53599701304,-431767.54812985664,-443164.45626693947,8875.071987691033,8
9,17.20561917622884,0.17153022785867708,0.02194492022196452,0.000813227759112388,0.2,9,7,30,48,0.8,"{'mod__learning_rate': 0.2, 'mod__max_depth': 9, 'mod__min_samples_leaf': 7, 'mod__min_samples_split': 30, 'mod__n_estimators': 48, 'mod__subsample': 0.8}",-452179.18431154505,-445910.62321743957,-440773.3242965591,-446287.71060851455,4664.0509463873195,9
10,27.29183538754781,1.0607987554306546,0.027926206588745117,0.0008157564995398307,0.2,6,9,10,115,0.8,"{'mod__learning_rate': 0.2, 'mod__max_depth': 6, 'mod__min_samples_leaf': 9, 'mod__min_samples_split': 10, 'mod__n_estimators': 115, 'mod__subsample': 0.8}",-467257.4713916979,-443024.65929160273,-444027.99950093706,-451436.71006141254,11194.46409901803,10
11,176.89787729581198,1.2839216138732614,0.14264400800069174,0.005763579861003619,0.01,13,3,3,179,1.0,"{'mod__learning_rate': 0.01, 'mod__max_depth': 13, 'mod__min_samples_leaf': 3, 'mod__min_samples_split': 3, 'mod__n_estimators': 179, 'mod__subsample': 1.0}",-472726.45555575384,-464317.82728750654,-470948.3870962207,-469330.889979827,3618.3311097381375,11
6,8.024245182673136,0.32747679374661953,0.014295260111490885,0.0018806485864292508,0.1,8,5,2,19,1.0,"{'mod__learning_rate': 0.1, 'mod__max_depth': 8, 'mod__min_samples_leaf': 5, 'mod__min_samples_split': 2, 'mod__n_estimators': 19, 'mod__subsample': 1.0}",-502028.03827825445,-491595.69073275477,-493262.25529666746,-495628.66143589217,4575.906273759243,12
8,42.750612576802574,1.9213371665688566,0.048880974451700844,0.0033325763465219893,0.01,16,4,10,44,0.8,"{'mod__learning_rate': 0.01, 'mod__max_depth': 16, 'mod__min_samples_leaf': 4, 'mod__min_samples_split': 10, 'mod__n_estimators': 44, 'mod__subsample': 0.8}",-615078.7453473728,-601989.8391009839,-617639.4520051974,-611569.345484518,6853.928876247315,13
19,9.171946128209433,0.2897370087603416,0.01728932062784831,0.0012442831262914668,0.01,5,3,4,46,0.8,"{'mod__learning_rate': 0.01, 'mod__max_depth': 5, 'mod__min_samples_leaf': 3, 'mod__min_samples_split': 4, 'mod__n_estimators': 46, 'mod__subsample': 0.8}",-632347.2964266975,-619615.1045424294,-635671.0368376033,-629211.1459355768,6919.769764667973,14
3,26.42119042078654,1.3048288331725257,0.03508075078328451,0.0019155248034303718,0.01,13,3,30,35,1.0,"{'mod__learning_rate': 0.01, 'mod__max_depth': 13, 'mod__min_samples_leaf': 3, 'mod__min_samples_split': 30, 'mod__n_estimators': 35, 'mod__subsample': 1.0}",-636230.4444244038,-622797.0338207611,-640401.900335751,-633143.1261936387,7511.390534655315,15
12,109.96083307266235,2.3601818154829437,0.15248926480611166,0.021307083311451078,0.001,11,9,5,184,0.8,"{'mod__learning_rate': 0.001, 'mod__max_depth': 11, 'mod__min_samples_leaf': 9, 'mod__min_samples_split': 5, 'mod__n_estimators': 184, 'mod__subsample': 0.8}",-679685.3923566713,-665125.0827212901,-682803.5870151982,-675871.3540310533,7704.654211552688,16
7,38.81704664230347,1.5501103163673977,0.04737981160481771,0.0022737574632329654,0.001,5,9,4,161,1.0,"{'mod__learning_rate': 0.001, 'mod__max_depth': 5, 'mod__min_samples_leaf': 9, 'mod__min_samples_split': 4, 'mod__n_estimators': 161, 'mod__subsample': 1.0}",-692793.1109711104,-678096.6436182745,-696568.7734298036,-689152.8426730628,7968.419329027265,17
1,47.738988955815636,2.3002713477110204,0.065674622853597,0.001243730337696449,0.001,10,4,10,97,0.8,"{'mod__learning_rate': 0.001, 'mod__max_depth': 10, 'mod__min_samples_leaf': 4, 'mod__min_samples_split': 10, 'mod__n_estimators': 97, 'mod__subsample': 0.8}",-705494.0158563243,-689874.7467172799,-708767.4200577663,-701378.7275437902,8243.582348673475,18
17,55.724380334218345,1.6736391981879668,0.060180981953938804,0.0024571349385937176,0.001,18,7,30,58,1.0,"{'mod__learning_rate': 0.001, 'mod__max_depth': 18, 'mod__min_samples_leaf': 7, 'mod__min_samples_split': 30, 'mod__n_estimators': 58, 'mod__subsample': 1.0}",-715852.1143887935,-700410.3294237792,-719286.3316879496,-711849.5918335073,8209.385095666308,19
13,12.36800225575765,0.0967934532491199,0.020784616470336914,0.0006282883733668308,0.001,5,8,5,63,0.8,"{'mod__learning_rate': 0.001, 'mod__max_depth': 5, 'mod__min_samples_leaf': 8, 'mod__min_samples_split': 5, 'mod__n_estimators': 63, 'mod__subsample': 0.8}",-717865.1107227897,-702216.8376362505,-721741.8652627904,-713941.2712072767,8440.144681299824,20
